Sku	Photo URL	Tag URL
AP-29	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-29_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-29_TAG.JPEG
AP-30	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-30_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-30_TAG.JPEG
AP-31	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-31_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-31_TAG.JPEG
AP-32	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-32_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-32_TAG.JPEG
AP-33	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-33_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-33_TAG.JPEG
AP-34	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-34_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-34_TAG.JPEG
AP-35	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-35_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-35_TAG.JPEG
AP-36	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-36_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-36_TAG.JPEG
AP-37	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-37_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-37_TAG.JPEG
AP-38	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-38_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-38_TAG.JPEG
AP-39	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-39_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-39_TAG.JPEG
AP-40	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-40_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-40_TAG.JPEG
AP-41	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-41_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-41_TAG.JPEG
AP-42	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-42_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-42_TAG.JPEG
AP-43	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-43_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-43_TAG.JPEG
AP-44	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-44_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-44_TAG.JPEG
AP-45	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-45_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-45_TAG.JPEG
AP-46	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-46_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-46_TAG.JPEG
AP-47	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-47_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-47_TAG.JPEG
AP-48	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-48_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-48_TAG.JPEG
AP-49	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-49_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-49_TAG.JPEG
AP-50	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-50_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-50_TAG.JPEG
